Name,Age,Experience (Years),Education Level,Hours Worked per week,Projects Completed,Performance Category
Fatima Qureshi,33,6,Master,9,18,Good
Zain Chaudhry,40,26,Master,9,4,Average
Usman Qureshi,58,20,Master,9,10,Average
Fatima Raza,38,27,Bachelor,5,18,Excellent
Usman Malik,31,15,High School,6,6,Good
Hassan Qureshi,33,22,Bachelor,8,5,Average
Ahmed Shah,37,19,PhD,7,10,Average
Amna Qureshi,45,24,Master,9,13,Average
Ali Qureshi,40,27,Master,6,3,Average
Fatima Chaudhry,29,4,Master,9,7,Average
Sara Raza,52,20,High School,6,8,Average
Ahmed Butt,42,17,Bachelor,7,1,Outstanding
Ahmed Butt,38,5,High School,4,10,Average
Zain Ashraf,44,28,Bachelor,5,19,Poor
Bilal Iqbal,58,18,High School,8,6,Average
Hassan Iqbal,37,32,Bachelor,4,3,Poor
Sara Raza,27,0,Master,7,13,Average
Zain Malik,29,2,Master,5,0,Average
Amna Butt,46,20,Master,5,11,Average
Amna Ashraf,39,34,PhD,5,18,Outstanding
Ali Chaudhry,46,2,High School,7,4,Outstanding
Ali Khan,33,24,High School,9,7,Poor
Amna Iqbal,36,19,Master,9,10,Average
Sara Chaudhry,47,33,Bachelor,9,3,Good
Amna Sheikh,47,20,Bachelor,4,14,Low
Ahmed Ashraf,53,22,Bachelor,8,19,Good
Amna Butt,31,5,Bachelor,5,11,Excellent
Ali Raza,37,12,Bachelor,5,19,Good
Zain Butt,28,22,Bachelor,4,9,Average
Ali Iqbal,38,8,Bachelor,9,15,Excellent
Hassan Khan,44,16,Master,5,7,Excellent
Hassan Sheikh,47,1,Bachelor,5,19,Good
Amna Shah,42,18,Bachelor,7,7,Average
Hassan Chaudhry,43,18,Bachelor,6,5,Good
Usman Iqbal,28,6,Bachelor,4,2,Average
Hassan Qureshi,35,19,Master,4,7,Average
Usman Shah,36,8,Master,9,9,Average
Ayesha Khan,28,16,Master,4,4,Outstanding
Sara Chaudhry,30,26,Bachelor,9,10,Good
Ali Khan,29,1,Bachelor,7,3,Good
Bilal Ashraf,44,18,Bachelor,7,16,Average
Ali Iqbal,50,16,Bachelor,8,2,Average
Usman Malik,39,4,Bachelor,9,17,Excellent
Hassan Khan,52,17,Bachelor,7,7,Average
Ayesha Shah,51,6,Bachelor,9,11,Good
Ahmed Sheikh,56,16,Master,4,15,Average
Bilal Ashraf,39,3,High School,8,13,Good
Bilal Butt,38,24,Master,6,15,Excellent
Bilal Shah,35,4,High School,5,3,Average
Ali Iqbal,52,29,High School,5,0,Poor
Ahmed Ashraf,45,11,PhD,8,0,Average
Ali Sheikh,56,3,PhD,9,14,Excellent
Amna Shah,55,23,High School,9,19,Good
Amna Sheikh,24,28,Bachelor,9,19,Good
Sara Khan,58,8,Bachelor,6,2,Average
Usman Qureshi,47,3,Bachelor,5,13,Good
Hassan Iqbal,44,23,Master,8,8,Average
Bilal Iqbal,36,13,PhD,9,18,Low
Bilal Raza,25,4,Master,7,7,Outstanding
Sara Butt,50,17,Bachelor,4,1,Average
Fatima Sheikh,43,18,Master,6,3,Average
Ayesha Raza,46,11,Bachelor,9,0,Average
Ali Khan,34,17,PhD,5,10,Poor
Bilal Chaudhry,39,16,Master,4,4,Average
Usman Raza,54,29,Bachelor,8,1,Low
Sara Malik,37,23,Bachelor,9,12,Good
Ali Chaudhry,23,10,Bachelor,5,16,Average
Usman Butt,56,34,High School,4,16,Average
Zain Khan,55,22,Master,7,17,Average
Sara Khan,51,16,Bachelor,6,8,Good
Bilal Butt,34,0,Bachelor,8,5,Low
Sara Iqbal,34,14,Bachelor,5,19,Outstanding
Sara Khan,39,31,Master,7,2,Average
Ahmed Iqbal,53,8,High School,6,7,Poor
Ayesha Raza,53,14,Master,6,2,Average
Zain Ashraf,56,27,Master,7,0,Average
Zain Chaudhry,50,23,PhD,5,19,Good
Fatima Raza,50,34,Bachelor,6,12,Average
Ayesha Sheikh,37,21,Bachelor,8,4,Average
Amna Raza,31,26,Bachelor,4,15,Poor
Bilal Qureshi,51,18,Bachelor,8,15,Average
Ayesha Khan,46,11,Bachelor,9,11,Good
Amna Chaudhry,41,19,Master,6,12,Average
Ahmed Shah,26,0,Bachelor,4,3,Poor
Amna Butt,22,20,Master,7,8,Low
Usman Ashraf,51,0,High School,4,15,Average
Bilal Iqbal,24,9,Master,4,0,Good
Fatima Shah,35,31,Master,4,4,Good
Bilal Sheikh,51,21,Master,6,4,Poor
Ayesha Shah,25,17,Master,9,18,Average
Ahmed Iqbal,39,31,Master,9,8,Average
Hassan Raza,58,26,PhD,5,7,Excellent
Sara Qureshi,46,27,Bachelor,9,18,Average
Ahmed Butt,22,17,Bachelor,6,17,Average
Usman Iqbal,36,28,High School,5,14,Average
Bilal Shah,30,17,High School,7,3,Average
Amna Iqbal,36,7,Bachelor,7,14,Good
Ahmed Shah,45,30,High School,7,12,Poor
Sara Qureshi,25,33,Bachelor,7,17,Average
Sara Ashraf,33,6,Bachelor,7,19,Average
Ali Butt,58,17,High School,8,4,Average
Fatima Malik,58,8,PhD,6,17,Average
Amna Raza,27,8,High School,5,7,Average
Usman Qureshi,45,7,Master,7,0,Good
Bilal Chaudhry,32,34,Bachelor,8,18,Poor
Zain Khan,34,17,PhD,9,16,Excellent
Ali Raza,55,4,Master,8,1,Low
Zain Iqbal,46,13,Master,8,18,Low
Sara Butt,28,27,Master,6,15,Good
Sara Ashraf,25,29,High School,7,17,Excellent
Ayesha Khan,29,3,PhD,8,1,Poor
Sara Raza,41,19,Master,8,5,Excellent
Ali Butt,50,24,Master,7,6,Average
Sara Chaudhry,31,27,Master,6,5,Average
Sara Shah,55,11,Bachelor,8,5,Poor
Sara Iqbal,47,1,Master,5,8,Average
Fatima Qureshi,24,13,Bachelor,4,7,Average
Bilal Butt,27,21,Bachelor,9,8,Average
Amna Ashraf,26,30,High School,4,11,Average
Ayesha Qureshi,26,22,PhD,4,17,Average
Fatima Iqbal,44,19,High School,6,5,Outstanding
Hassan Butt,30,3,Bachelor,8,3,Low
Ali Butt,56,14,Bachelor,4,6,Low
Fatima Raza,41,23,Master,4,17,Good
Fatima Ashraf,56,24,Master,9,19,Poor
Bilal Khan,39,0,Bachelor,7,4,Average
Zain Raza,38,6,High School,8,17,Average
Ahmed Khan,45,30,Master,8,9,Average
Ayesha Iqbal,24,11,PhD,9,7,Excellent
Zain Chaudhry,53,4,Master,7,0,Average
Bilal Qureshi,56,11,Bachelor,8,14,Average
Ahmed Raza,59,17,PhD,5,2,Low
Fatima Raza,34,1,Bachelor,9,14,Low
Bilal Chaudhry,46,9,Bachelor,6,13,Average
Sara Butt,30,14,Bachelor,7,0,Good
Amna Ashraf,25,29,Bachelor,9,7,Good
Ayesha Butt,35,16,Master,4,6,Good
Hassan Butt,58,3,Bachelor,8,8,Low
Ahmed Ashraf,55,6,Bachelor,5,17,Poor
Ahmed Sheikh,32,30,Bachelor,5,11,Outstanding
Amna Butt,24,33,High School,6,7,Poor
Ahmed Iqbal,49,5,Bachelor,9,7,Outstanding
Usman Iqbal,50,33,Bachelor,5,5,Good
Usman Malik,30,14,High School,9,2,Excellent
Usman Khan,24,13,Master,8,1,Average
Bilal Sheikh,46,5,Master,8,13,Low
Sara Malik,55,31,Master,5,7,Average
Ahmed Khan,33,2,Bachelor,8,5,Good
Sara Iqbal,30,2,Master,9,3,Low
Hassan Ashraf,36,21,PhD,8,4,Good
Usman Chaudhry,46,21,Master,4,12,Low
Zain Butt,26,9,Master,9,8,Average
Hassan Khan,32,2,Bachelor,7,12,Excellent
Usman Iqbal,55,11,PhD,8,8,Low
Amna Shah,45,28,Bachelor,8,15,Low
Usman Khan,36,16,Bachelor,9,11,Poor
Amna Qureshi,59,6,Bachelor,6,1,Low
Amna Qureshi,29,12,High School,7,18,Low
Usman Iqbal,26,1,PhD,7,15,Low
Bilal Sheikh,47,3,Bachelor,7,12,Average
Ali Malik,39,9,Bachelor,5,4,Good
Amna Sheikh,27,23,Master,4,5,Excellent
Sara Raza,58,16,Bachelor,4,16,Average
Zain Iqbal,34,5,High School,6,16,Low
Ayesha Ashraf,49,18,Master,7,16,Low
Ayesha Shah,26,4,Master,7,2,Good
Ali Ashraf,34,31,Bachelor,8,12,Good
Bilal Butt,38,9,Master,9,11,Outstanding
Zain Raza,53,8,Bachelor,5,5,Poor
Sara Qureshi,50,26,Bachelor,5,12,Good
Ali Khan,24,12,Bachelor,6,13,Average
Ali Shah,55,18,Bachelor,4,6,Excellent
Bilal Shah,48,20,Master,7,4,Average
Amna Butt,34,23,Master,9,13,Average
Usman Khan,54,3,Bachelor,6,17,Good
Ahmed Malik,27,23,Bachelor,5,3,Good
Hassan Shah,45,34,Master,5,0,Average
Fatima Chaudhry,40,2,Bachelor,5,6,Low
Ali Iqbal,37,3,Bachelor,7,19,Average
Usman Raza,49,34,PhD,7,12,Low
Sara Chaudhry,54,30,Master,7,3,Average
Hassan Qureshi,34,24,PhD,8,12,Outstanding
Usman Malik,46,12,Bachelor,4,3,Average
Ayesha Iqbal,57,3,Master,5,2,Good
Zain Khan,48,13,Bachelor,5,7,Good
Ahmed Ashraf,59,12,Bachelor,8,19,Good
Usman Raza,28,26,Bachelor,5,7,Excellent
Zain Sheikh,26,5,Bachelor,5,16,Good
Bilal Malik,52,16,Bachelor,7,14,Average
Ayesha Sheikh,44,34,Bachelor,7,3,Average
Zain Raza,31,16,High School,4,5,Average
Zain Shah,53,1,Master,5,5,Average
Amna Ashraf,51,12,Bachelor,6,9,Average
Bilal Sheikh,52,1,High School,5,3,Good
Ali Iqbal,39,27,Bachelor,5,8,Average
Fatima Khan,57,25,High School,4,15,Low
Ali Shah,23,21,Master,6,6,Outstanding
Sara Malik,35,2,High School,5,13,Average
Fatima Chaudhry,34,34,Master,9,5,Average
Zain Chaudhry,50,11,High School,9,0,Good
Bilal Ashraf,33,23,Bachelor,6,17,Average
Usman Qureshi,23,4,Master,9,11,Average
Hassan Butt,53,19,Master,7,14,Good
Sara Ashraf,34,12,High School,7,0,Low
Amna Shah,48,11,Master,6,14,Average
Bilal Sheikh,38,12,Bachelor,5,14,Average
Zain Shah,52,9,Master,6,15,Average
Ali Chaudhry,55,32,Master,9,0,Low
Ayesha Raza,45,15,Master,6,2,Good
Ali Malik,56,34,PhD,9,11,Low
Ayesha Sheikh,27,2,Bachelor,7,6,Excellent
Bilal Sheikh,40,4,Master,6,4,Excellent
Bilal Ashraf,51,25,Bachelor,8,0,Average
Fatima Malik,28,10,High School,9,0,Average
Ali Khan,31,6,High School,8,14,Good
Ayesha Butt,53,9,High School,7,7,Poor
Fatima Qureshi,55,33,Master,5,10,Poor
Ali Sheikh,49,2,Bachelor,9,13,Low
Ali Sheikh,36,7,Bachelor,5,12,Average
Bilal Butt,51,30,High School,7,18,Low
Amna Iqbal,58,10,Bachelor,5,11,Average
Amna Shah,50,6,PhD,9,18,Average
Ali Khan,43,1,Bachelor,4,3,Poor
Ali Ashraf,25,5,Master,9,3,Low
Amna Malik,41,31,Master,9,2,Excellent
Zain Chaudhry,53,19,Master,8,5,Good
Fatima Shah,57,33,Bachelor,4,4,Average
Usman Qureshi,25,15,Master,4,10,Poor
Bilal Shah,48,24,Bachelor,4,8,Average
Ali Iqbal,38,11,Master,9,2,Low
Sara Chaudhry,33,6,Bachelor,7,8,Outstanding
Amna Sheikh,43,16,Bachelor,4,11,Good
Bilal Sheikh,38,10,High School,6,2,Outstanding
Ahmed Qureshi,31,5,Master,5,19,Good
Ayesha Qureshi,22,22,Bachelor,7,16,Average
Hassan Sheikh,43,26,Bachelor,6,11,Good
Ali Sheikh,47,5,Bachelor,9,17,Good
Bilal Qureshi,39,1,PhD,9,3,Average
Bilal Qureshi,35,21,Master,6,9,Poor
Hassan Malik,50,19,Bachelor,8,17,Average
Fatima Qureshi,33,24,Master,8,7,Low
Sara Butt,57,14,Bachelor,6,8,Good
Zain Chaudhry,56,28,Bachelor,8,18,Good
Sara Butt,33,7,PhD,5,12,Outstanding
Ali Sheikh,28,32,High School,5,5,Average
Ayesha Khan,50,21,Bachelor,9,6,Good
Bilal Ashraf,32,4,Bachelor,8,5,Average
Zain Shah,54,17,Bachelor,4,10,Average
Fatima Butt,27,29,Bachelor,6,16,Excellent
Fatima Shah,36,30,Bachelor,5,18,Good
Zain Sheikh,53,9,High School,8,11,Good
Ayesha Ashraf,32,14,Bachelor,8,12,Average
Zain Raza,44,17,Bachelor,5,17,Good
Hassan Ashraf,47,22,Bachelor,5,6,Excellent
Ahmed Shah,55,32,High School,4,4,Low
Fatima Qureshi,55,15,Master,8,15,Good
Hassan Chaudhry,50,34,Bachelor,8,3,Average
Sara Ashraf,25,33,Master,7,0,Low
Bilal Qureshi,38,27,Master,9,3,Good
Bilal Ashraf,56,1,Master,4,2,Low
Ali Chaudhry,34,29,Bachelor,5,3,Average
Sara Chaudhry,36,12,Bachelor,5,0,Good
Amna Sheikh,50,15,Bachelor,6,11,Good
Amna Khan,50,4,Master,9,12,Average
Hassan Raza,32,27,Bachelor,5,1,Excellent
Hassan Qureshi,53,19,Master,8,8,Low
Ali Shah,23,23,Master,5,6,Outstanding
Hassan Sheikh,35,26,Bachelor,8,12,Good
Ayesha Raza,41,29,High School,8,1,Average
Ayesha Sheikh,43,26,Master,4,0,Low
Bilal Shah,32,25,Bachelor,5,17,Average
Ali Butt,48,6,High School,4,6,Low
Zain Butt,24,4,Master,9,17,Average
Zain Shah,38,22,Bachelor,8,18,Average
Amna Iqbal,49,27,PhD,9,7,Average
Bilal Iqbal,50,33,Master,5,11,Good
Usman Ashraf,42,14,Master,9,10,Low
Amna Chaudhry,37,31,Bachelor,9,8,Average
Ali Malik,58,25,Bachelor,5,3,Low
Sara Ashraf,41,30,Bachelor,4,6,Good
Ahmed Chaudhry,27,18,Bachelor,4,16,Average
Usman Chaudhry,40,8,Bachelor,8,10,Good
Bilal Ashraf,26,28,Bachelor,8,1,Poor
Bilal Malik,24,3,Bachelor,5,17,Low
Usman Malik,22,2,Bachelor,5,11,Low
Ayesha Raza,59,28,Master,7,8,Low
Amna Iqbal,36,10,Bachelor,7,10,Low
Amna Chaudhry,55,32,High School,6,4,Average
Zain Raza,56,10,Master,8,6,Average
Hassan Ashraf,46,26,PhD,9,0,Good
Bilal Butt,45,32,Bachelor,6,4,Average
Zain Iqbal,33,20,High School,6,5,Average
Ahmed Ashraf,39,30,Bachelor,4,12,Outstanding
Usman Butt,36,1,PhD,9,10,Average
Ali Qureshi,37,26,Master,4,7,Average
Bilal Malik,48,10,Master,7,19,Outstanding
Ali Sheikh,29,17,Bachelor,6,1,Outstanding
Fatima Qureshi,46,0,Bachelor,7,14,Average
Fatima Butt,38,34,High School,9,9,Average
Sara Iqbal,50,34,Master,9,7,Average
Hassan Ashraf,29,30,Master,8,1,Good
Hassan Malik,36,27,PhD,5,14,Excellent
Hassan Butt,48,0,Bachelor,4,5,Average
Fatima Malik,28,24,High School,8,4,Good
Ayesha Khan,24,19,Bachelor,8,2,Good
Ali Khan,50,2,Master,4,10,Average
Fatima Malik,45,1,Master,4,10,Good
Ahmed Raza,24,17,Bachelor,9,15,Average
Amna Sheikh,41,9,Bachelor,9,2,Low
Amna Sheikh,36,4,Bachelor,6,8,Outstanding
Fatima Iqbal,46,8,Bachelor,7,2,Average
Bilal Butt,51,1,Master,9,18,Average
Sara Shah,35,33,Bachelor,8,10,Good
Ahmed Sheikh,28,30,Master,6,13,Outstanding
Bilal Shah,38,9,Bachelor,6,1,Excellent
Usman Chaudhry,41,11,Master,8,6,Average
Sara Butt,57,20,Bachelor,9,9,Average
Zain Shah,30,5,Master,8,9,Average
Bilal Khan,59,2,Bachelor,5,19,Average
Sara Raza,43,9,Bachelor,9,0,Excellent
Ayesha Malik,23,4,Bachelor,7,5,Good
Zain Malik,45,25,Bachelor,8,13,Poor
Amna Sheikh,29,20,Bachelor,9,1,Low
Fatima Ashraf,32,25,Bachelor,4,5,Excellent
Sara Butt,34,25,PhD,5,0,Good
Ali Qureshi,38,7,Bachelor,7,2,Average
Hassan Iqbal,29,4,Master,9,3,Average
Fatima Chaudhry,42,14,PhD,4,12,Average
Bilal Chaudhry,39,15,High School,9,2,Good
Bilal Chaudhry,51,0,Master,4,14,Average
Ali Ashraf,39,15,Bachelor,7,12,Good
Fatima Butt,52,2,High School,5,10,Average
Zain Sheikh,59,30,Bachelor,4,3,Average
Ayesha Chaudhry,53,12,PhD,6,16,Low
Zain Malik,32,15,High School,7,4,Excellent
Ahmed Ashraf,46,20,Bachelor,7,7,Excellent
Ali Raza,54,1,Bachelor,8,9,Good
Ayesha Malik,59,26,Master,5,6,Excellent
Ahmed Ashraf,29,25,High School,6,16,Good
Ahmed Iqbal,32,24,Master,6,6,Low
Bilal Shah,43,10,Master,8,18,Good
Zain Sheikh,45,7,Master,4,8,Average
Zain Shah,38,7,PhD,4,1,Average
Bilal Sheikh,33,32,Master,6,19,Average
Hassan Iqbal,53,6,High School,5,18,Average
Ahmed Iqbal,36,20,Bachelor,4,5,Good
Ahmed Butt,37,7,Bachelor,7,9,Low
Ayesha Sheikh,43,20,Bachelor,9,12,Low
Ahmed Ashraf,49,19,Bachelor,8,1,Good
Hassan Chaudhry,41,7,Bachelor,5,9,Good
Usman Ashraf,54,30,Bachelor,4,9,Average
Usman Butt,31,28,PhD,9,4,Low
Ahmed Raza,53,8,High School,6,3,Average
Bilal Iqbal,54,14,PhD,8,1,Good
Amna Butt,23,29,Bachelor,4,6,Good
Bilal Butt,54,25,Master,6,17,Low
Bilal Butt,54,9,Master,4,16,Outstanding
Hassan Sheikh,34,28,Bachelor,8,10,Low
Ali Chaudhry,51,15,Bachelor,7,17,Low
Usman Raza,54,19,Bachelor,7,7,Average
Ayesha Khan,34,21,Bachelor,9,11,Average
Ayesha Raza,47,6,PhD,6,0,Outstanding
Amna Qureshi,43,22,Master,7,19,Poor
Ahmed Butt,23,28,High School,8,11,Average
Zain Butt,59,15,High School,6,5,Average
Amna Iqbal,47,27,Bachelor,4,2,Average
Ali Chaudhry,36,30,High School,5,4,Poor
Ali Qureshi,55,13,Master,4,13,Poor
Amna Ashraf,32,32,High School,8,11,Average
Amna Khan,24,8,Bachelor,9,12,Average
Hassan Iqbal,27,26,High School,6,12,Good
Sara Shah,30,23,Bachelor,4,16,Good
Ali Raza,27,12,Master,6,14,Average
Ayesha Khan,30,25,Bachelor,7,5,Average
Hassan Qureshi,52,28,PhD,5,11,Excellent
Fatima Malik,53,27,Master,8,1,Average
Hassan Malik,33,27,Bachelor,4,3,Average
Sara Raza,29,7,High School,5,19,Average
Zain Ashraf,29,22,Master,8,11,Good
Zain Shah,49,28,PhD,8,2,Average
Ahmed Chaudhry,41,4,Master,9,16,Poor
Ahmed Raza,28,6,High School,7,5,Poor
Sara Khan,32,26,PhD,9,16,Good
Zain Ashraf,41,1,Bachelor,9,16,Poor
Amna Qureshi,37,24,Master,6,10,Average
Zain Iqbal,25,8,PhD,6,6,Low
Ahmed Ashraf,27,26,Bachelor,5,1,Low
Ayesha Qureshi,43,0,PhD,7,18,Average
Zain Qureshi,47,22,Bachelor,8,1,Poor
Amna Malik,24,9,PhD,7,12,Low
Ahmed Shah,35,24,Bachelor,7,15,Good
Usman Qureshi,32,2,PhD,5,16,Average
Ahmed Sheikh,39,5,High School,6,10,Good
Sara Sheikh,33,5,Master,7,8,Poor
Fatima Raza,44,1,Bachelor,7,8,Excellent
Bilal Butt,33,17,Bachelor,7,13,Outstanding
Ahmed Chaudhry,34,22,Bachelor,4,12,Poor
Ayesha Shah,46,1,Master,7,10,Outstanding
Bilal Butt,40,11,Bachelor,7,11,Low
Ali Malik,57,21,Bachelor,8,2,Good
Bilal Iqbal,29,19,Bachelor,9,0,Average
Ayesha Ashraf,50,23,PhD,4,7,Average
Hassan Butt,53,19,High School,7,18,Average
Fatima Chaudhry,39,0,Bachelor,9,12,Average
Usman Malik,27,0,Bachelor,7,6,Good
Hassan Ashraf,39,16,Bachelor,5,12,Average
Ali Iqbal,40,0,Bachelor,5,5,Average
Bilal Raza,43,29,Bachelor,9,2,Outstanding
Bilal Raza,58,2,Master,4,5,Excellent
Hassan Qureshi,53,10,Master,8,2,Outstanding
Fatima Qureshi,24,23,Bachelor,4,12,Excellent
Fatima Iqbal,49,21,High School,4,12,Average
Zain Sheikh,31,25,Master,5,12,Average
Zain Butt,56,12,Bachelor,5,0,Low
Fatima Khan,50,0,Master,8,7,Outstanding
Usman Malik,36,23,Bachelor,7,4,Low
Hassan Khan,54,9,Bachelor,8,19,Average
Ali Sheikh,28,34,Bachelor,7,16,Low
Hassan Butt,33,23,Master,9,8,Low
Usman Shah,51,27,High School,9,12,Low
Sara Sheikh,42,15,Bachelor,6,12,Average
Ayesha Sheikh,52,15,High School,5,4,Poor
Ayesha Malik,45,16,Master,6,13,Average
Fatima Qureshi,41,14,PhD,6,10,Good
Ali Ashraf,58,15,Bachelor,5,13,Good
Ahmed Khan,25,14,Bachelor,6,6,Low
Bilal Qureshi,49,33,PhD,4,16,Excellent
Sara Shah,41,10,Bachelor,7,3,Good
Ali Malik,45,0,Bachelor,8,9,Poor
Usman Raza,53,14,Bachelor,5,9,Good
Hassan Malik,57,25,Master,4,14,Good
Ahmed Chaudhry,55,3,High School,9,19,Average
Sara Iqbal,57,4,Master,8,11,Poor
Hassan Khan,23,34,Bachelor,8,8,Average
Usman Ashraf,36,12,High School,8,2,Good
Ali Shah,55,9,Master,6,14,Average
Ahmed Butt,57,10,Bachelor,6,11,Good
Ali Raza,27,17,High School,6,14,Average
Bilal Malik,33,33,Master,6,0,Average
Ali Malik,24,22,Master,4,14,Average
Fatima Ashraf,39,6,Master,6,10,Average
Ayesha Sheikh,42,2,PhD,5,4,Excellent
Bilal Sheikh,36,11,Master,8,6,Good
Ahmed Malik,54,6,High School,4,11,Average
Amna Chaudhry,56,25,Bachelor,9,19,Average
Usman Chaudhry,47,32,Master,6,5,Good
Ahmed Butt,29,14,Bachelor,9,2,Good
Fatima Raza,57,1,Master,8,9,Good
Ahmed Shah,51,6,Master,4,3,Average
Zain Butt,44,31,Bachelor,8,12,Outstanding
Sara Malik,35,3,PhD,9,18,Good
Ali Sheikh,35,19,Bachelor,4,4,Low
Ali Chaudhry,23,31,Bachelor,7,17,Average
Bilal Ashraf,58,27,PhD,4,0,Average
Bilal Ashraf,26,12,Bachelor,6,15,Good
Ahmed Raza,59,0,Bachelor,9,15,Poor
Ayesha Malik,35,34,Bachelor,8,15,Average
Sara Iqbal,46,29,Master,8,18,Average
Zain Chaudhry,41,24,Master,8,15,Low
Zain Qureshi,23,15,Master,5,0,Average
Usman Qureshi,27,18,Master,5,19,Good
Sara Iqbal,38,0,Bachelor,6,19,Average
Zain Iqbal,46,4,Master,7,9,Average
Sara Shah,49,21,Master,5,1,Average
Ayesha Khan,23,23,Bachelor,4,13,Average
Sara Butt,56,3,High School,9,7,Average
Bilal Malik,58,17,PhD,6,5,Low
Sara Butt,26,15,Master,7,2,Low
Zain Malik,22,17,Master,4,15,Good
Amna Khan,33,21,Master,8,16,Average
Fatima Ashraf,57,1,Bachelor,5,11,Good
Ahmed Shah,44,20,Master,4,18,Average
Zain Shah,52,28,Bachelor,7,19,Poor
Fatima Iqbal,32,25,High School,6,2,Good
Ahmed Butt,31,20,Master,4,12,Poor
Ali Khan,24,16,Bachelor,6,15,Excellent
Zain Malik,35,15,Master,8,10,Low
Usman Qureshi,37,30,Bachelor,7,19,Average
Sara Khan,31,8,Bachelor,7,15,Poor
Usman Shah,50,30,Bachelor,5,19,Excellent
Amna Qureshi,31,13,Bachelor,9,1,Outstanding
Amna Shah,33,1,Bachelor,7,3,Low
Bilal Shah,51,13,Bachelor,4,3,Average
Ali Iqbal,22,32,PhD,4,16,Poor
Amna Chaudhry,26,34,Bachelor,4,0,Good
Ahmed Qureshi,41,19,Bachelor,8,0,Average
Ali Qureshi,29,1,Bachelor,7,4,Average
Ali Iqbal,33,18,Master,7,11,Poor
Sara Sheikh,22,17,Bachelor,4,5,Good
Amna Ashraf,41,15,Master,5,5,Average
Bilal Chaudhry,49,3,Master,5,16,Good
Ali Qureshi,58,11,Bachelor,7,12,Good
Bilal Raza,58,28,Bachelor,7,7,Poor
Usman Raza,33,6,PhD,6,11,Average
Ali Shah,58,13,Master,7,14,Average
Ali Butt,49,11,Master,4,18,Average
Zain Chaudhry,36,34,High School,9,19,Low
Usman Qureshi,27,4,Bachelor,8,16,Good
Ahmed Malik,41,16,Bachelor,7,8,Outstanding
Usman Sheikh,35,31,Bachelor,7,17,Outstanding
Usman Sheikh,23,9,Bachelor,4,1,Good
Hassan Ashraf,30,16,Master,6,10,Average
Amna Iqbal,58,4,Bachelor,9,19,Average
Ayesha Sheikh,41,8,Master,7,16,Poor
Fatima Sheikh,47,32,Master,5,17,Average
Ayesha Malik,50,17,Bachelor,5,14,Low
Usman Ashraf,22,8,Master,5,6,Average
Bilal Qureshi,56,28,High School,8,15,Excellent
Amna Malik,27,13,Master,8,0,Outstanding
Ayesha Chaudhry,58,24,Bachelor,9,17,Excellent
Ali Butt,26,14,High School,7,7,Low
Hassan Iqbal,54,5,Master,7,6,Excellent
Fatima Khan,35,28,Bachelor,7,1,Low
Hassan Chaudhry,33,14,PhD,8,11,Average
Ahmed Ashraf,41,28,Bachelor,9,15,Average
Ahmed Qureshi,45,3,Bachelor,7,8,Average
Ali Chaudhry,55,17,Bachelor,4,19,Outstanding
Ali Raza,46,15,Bachelor,6,10,Average
Amna Khan,50,10,Bachelor,5,14,Average
Usman Khan,52,13,Master,5,2,Poor
Sara Khan,44,2,Master,4,12,Excellent
Hassan Ashraf,59,17,Master,7,12,Average
Bilal Sheikh,41,19,PhD,9,1,Good
Ahmed Khan,44,24,Bachelor,9,5,Good
Amna Shah,37,12,Master,8,5,Good
Sara Ashraf,29,3,Bachelor,7,11,Average
Sara Shah,42,13,Master,9,3,Average
Fatima Qureshi,22,32,Bachelor,7,4,Average
Ali Chaudhry,29,27,PhD,5,7,Outstanding
Fatima Malik,50,7,Master,5,5,Good
Amna Khan,53,33,PhD,8,2,Low
Ahmed Raza,59,4,Master,5,7,Poor
Amna Khan,26,4,PhD,7,18,Average
Bilal Malik,43,30,Master,4,10,Good
Hassan Qureshi,55,8,Bachelor,8,17,Average
Ayesha Ashraf,22,31,Bachelor,4,9,Good
Ali Iqbal,47,32,Bachelor,7,19,Excellent
Hassan Khan,31,2,High School,8,11,Average
Fatima Raza,51,29,Bachelor,4,19,Low
Ayesha Chaudhry,39,11,Bachelor,8,7,Excellent
Ayesha Chaudhry,38,28,Bachelor,7,18,Average
Sara Butt,47,2,PhD,9,15,Average
Fatima Chaudhry,29,25,PhD,8,17,Average
Hassan Raza,33,29,Bachelor,9,8,Average
Amna Raza,48,8,Bachelor,7,3,Good
Ahmed Khan,29,25,Bachelor,8,8,Average
Bilal Khan,46,1,Bachelor,8,1,Average
Sara Iqbal,25,2,Master,9,8,Good
Fatima Khan,54,3,Bachelor,5,8,Low
Fatima Khan,22,24,Bachelor,9,17,Low
Bilal Qureshi,40,12,Master,9,10,Good
Ali Raza,52,34,Master,9,12,Excellent
Amna Raza,37,22,High School,7,5,Low
Bilal Butt,35,8,Master,6,8,Low
Usman Sheikh,26,1,Bachelor,9,15,Good
Ayesha Malik,47,30,Bachelor,8,3,Average
Usman Raza,49,1,High School,4,1,Average
Amna Shah,23,31,Bachelor,5,6,Poor
Fatima Butt,27,17,Bachelor,9,14,Poor
Ali Chaudhry,30,12,Bachelor,9,5,Good
Ali Iqbal,54,4,Master,5,10,Average
Ahmed Shah,46,9,Master,9,19,Excellent
Ali Chaudhry,34,24,Bachelor,8,16,Average
Zain Khan,30,33,High School,6,3,Average
Bilal Sheikh,34,29,Master,9,18,Excellent
